latitude,longitude,gps_altitude_m,distance_m,speed_km/s,climb_m,climb_m(delta),climb_rate_m/s,glide_ratio,bearing,delta_bearing,elapsed_time,delta_time,temp,pressure,humidity,dew_point,wind_speed,wind_deg
37.10766666666667,29.38295,2135,11.010115661072708,39.63641637986175,3.0,48.0,3.0,3.670038553690903,70,17.0,5042.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.10765,29.38305,2138,9.079013792576559,32.684449653275614,2.0,47.0,2.0,4.539506896288279,101,31.0,5043.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.107616666666665,29.38315,2140,9.627683050630994,34.65965898227158,2.0,46.0,2.0,4.813841525315497,112,11.0,5044.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.10755,29.383233333333333,2142,10.469297189164433,37.68946988099196,2.0,45.0,2.0,5.234648594582216,135,23.0,5045.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.10746666666667,29.383266666666668,2145,9.711321236581828,34.96075645169458,2.0,44.0,2.0,4.855660618290914,162,27.0,5046.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.107366666666664,29.3833,2148,11.486665321901627,41.35199515884586,2.0,45.0,2.0,5.743332660950814,165,3.0,5047.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.107283333333335,29.383283333333335,2150,9.366205331859724,33.718339194695005,2.0,46.0,2.0,4.683102665929862,189,24.0,5048.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.10718333333333,29.383233333333333,2152,11.954784234239078,43.03722324326068,4.0,49.0,4.0,2.9886960585597695,201,12.0,5049.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.1071,29.383166666666668,2154,10.983894593050415,39.542020534981496,4.0,50.0,4.0,2.745973648262604,212,11.0,5050.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.10705,29.383066666666668,2157,10.478533496786845,37.72272058843264,3.0,50.0,3.0,3.492844498928948,237,25.0,5051.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.10705,29.382933333333334,2160,11.851564123130473,42.6656308432697,3.0,51.0,3.0,3.9505213743768244,270,33.0,5052.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.107083333333335,29.382816666666667,2162,11.01019044350367,39.63668559661321,2.0,50.0,2.0,5.505095221751835,289,19.0,5053.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.10713333333333,29.382683333333333,2165,13.086273873892269,47.110585946012165,2.0,50.0,2.0,6.5431369369461345,295,6.0,5054.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.107216666666666,29.382583333333333,2168,12.82729054481872,46.17824596134739,2.0,50.0,2.0,6.41364527240936,316,21.0,5055.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.1073,29.3825,2170,11.84896009108176,42.65625632789434,2.0,50.0,2.0,5.92448004554088,321,5.0,5056.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.1074,29.382466666666666,2173,11.486665870882156,41.351997135175765,2.0,49.0,2.0,5.743332935441078,345,24.0,5057.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.1075,29.3825,2175,11.486665048473402,41.35199417450425,3.0,49.0,3.0,3.828888349491134,14,29.0,5058.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.10756666666666,29.38255,2178,8.630863690542817,31.071109285954144,3.0,50.0,3.0,2.8769545635142726,30,16.0,5059.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.107616666666665,29.38265,2181,10.478482537503146,37.72253713501132,2.0,50.0,2.0,5.239241268751573,57,27.0,5060.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.10763333333333,29.38275,2183,9.079017605661694,32.6844633803821,3.0,50.0,3.0,3.026339201887231,78,21.0,5061.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.107616666666665,29.382866666666665,2186,10.533706844877653,37.92134464155955,2.0,49.0,2.0,5.266853422438826,100,22.0,5062.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.107483333333334,29.383033333333334,2190,10.983878986528936,39.54196435150417,4.0,50.0,4.0,2.745969746632234,147,25.0,5064.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.1074,29.383066666666668,2192,9.711321928250845,34.96075894170304,3.0,51.0,3.0,3.2371073094169485,162,15.0,5065.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.1073,29.383033333333334,2194,11.486665870882156,41.351997135175765,3.0,52.0,3.0,3.8288886236273854,194,32.0,5066.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.1072,29.38295,2196,13.342847017288076,48.03424926223707,2.0,52.0,2.0,6.671423508644038,213,19.0,5067.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.10713333333333,29.38285,2199,11.564955337690789,41.63383921568684,3.0,53.0,3.0,3.8549851125635963,230,17.0,5068.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.107083333333335,29.382716666666667,2201,13.086273873892269,47.110585946012165,4.0,53.0,4.0,3.2715684684730673,244,14.0,5069.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.10706666666667,29.382583333333333,2204,11.995029180301152,43.18210504908414,3.0,52.0,3.0,3.998343060100384,261,17.0,5070.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
37.10706666666667,29.38245,2206,11.851561526285527,42.6656214946279,3.0,52.0,3.0,3.9505205087618425,270,9.0,5071.0,1.0,29.15,1008.0,25.0,7.13,1.97,12.0
